番号,公園名,緯度,経度
1,中央街区公園（銀天プラザ）,33.9544,131.2421
2,中央町（シンボルロード）,33.9546,131.2434
3,宮大路南街区公園,33.9471,131.2519
4,琴芝街区公園,33.9506,131.2491
5,真締川公園（真締大橋）,33.9502,131.2448
6,真締川公園（緑橋）,33.953,131.2466
7,片倉公園,33.9813,131.2977
8,真締川公園（宇部大橋）,33.9602,131.2517
9,請川公園,33.9854,131.2963
10,中津瀬神社,33.9489,131.2495
11,松濤街区公園（北側）,33.9592,131.2375
12,松濤街区公園（南側）,33.9582,131.2366
13,松山通街区公園,33.9384,131.258
14,松月堀街区公園,33.9543,131.2502
15,明神街区公園,33.9301,131.2608
16,琴崎公園,33.9717,131.2712
17,沼街区公園,33.9623,131.2609
18,真締川公園（樋ノ口橋）,33.9565,131.2478
19,昭和町街区公園,33.9437,131.2527
20,展望公園,33.9674,131.2981
21,南方公園,33.9655,131.3107
22,常藤街区公園,33.9476,131.2533
23,神原公園,33.9531,131.2551
24,南神原公園,33.9521,131.2537
25,琴崎街区公園,33.9703,131.2682
26,福原史跡公園,33.9688,131.2656
27,宮地街区公園,33.9625,131.2573
28,生野児童遊園,33.9629,131.2597
29,寺の前第二街区公園,33.9637,131.266
30,参宮通児童遊園,33.9606,131.2608
31,上宇部中学校通児童遊園,33.9604,131.2634
32,ひらき台１号公園,33.9708,131.2788
33,小羽山３号街区公園,33.9779,131.2544
34,鵜の島街区公園,33.9622,131.2353
35,上町街区公園,33.9605,131.2386
36,岩鼻西街区公園,33.9796,131.2236
37,松浜街区公園,33.95,131.2438
38,梶返街区公園,33.9556,131.2636
39,前田街区公園,33.9937,131.3474
40,真締川公園（新錦橋）,33.9508,131.2457
41,黄幡街区公園,33.9627,131.2452
42,岬街区公園,33.9357,131.2591
43,上中野街区公園,33.9994,131.2168
44,京納児童遊園,33.9644,131.2583
45,居能街区公園,33.9666,131.2298
46,開街区公園,33.9625,131.2759
47,西宇部街区公園,34.0006,131.2234
